#Transform(Location(x=376.740814, y=-172.012207, z=0.600000), Rotation(pitch=0.000000, yaw=-179.673874, roll=0.000000))
#Transform(Location(x=328.358124, y=-172.287567, z=0.600000), Rotation(pitch=0.000000, yaw=-179.673874, roll=0.000000))

Location(x=62.051373, y=-174.197998, z=0.169794)
Location(x=61.340435, y=-174.202225, z=0.165211)
Location(x=60.573689, y=-174.205902, z=0.161056)
Location(x=59.837685, y=-174.209274, z=0.157600)
Location(x=59.114647, y=-174.213608, z=0.155002)
Location(x=58.372093, y=-174.219193, z=0.153130)
Location(x=57.756592, y=-174.224258, z=0.151980)
Location(x=57.069866, y=-174.229706, z=0.151326)
Location(x=56.294903, y=-174.235168, z=0.151579)
Location(x=55.572868, y=-174.240158, z=0.152400)
Location(x=54.921894, y=-174.245331, z=0.153956)
Location(x=54.208660, y=-174.251602, z=0.156393)
Location(x=53.546867, y=-174.257614, z=0.158969)
Location(x=52.923042, y=-174.263214, z=0.161489)
Location(x=52.226063, y=-174.269379, z=0.164310)
Location(x=51.574356, y=-174.274994, z=0.166903)
Location(x=51.018208, y=-174.279663, z=0.169062)
Location(x=50.284683, y=-174.285721, z=0.171871)
Location(x=49.580414, y=-174.291428, z=0.174471)
Location(x=48.860306, y=-174.297119, z=0.177025)
Location(x=48.217148, y=-174.302139, z=0.179196)
Location(x=47.500683, y=-174.307632, z=0.181503)
Location(x=46.837803, y=-174.312637, z=0.183515)
Location(x=46.140919, y=-174.317825, z=0.185509)
Location(x=45.377895, y=-174.323471, z=0.187562)
Location(x=44.705517, y=-174.328354, z=0.189241)
Location(x=44.080166, y=-174.332870, z=0.190697)
Location(x=43.506962, y=-174.337006, z=0.191938)
Location(x=42.815804, y=-174.341949, z=0.193325)
Location(x=42.116009, y=-174.346893, z=0.194600)
Location(x=41.535164, y=-174.350998, z=0.195557)
Location(x=40.833672, y=-174.355927, z=0.196600)
Location(x=40.160725, y=-174.360657, z=0.197481)
Location(x=39.489143, y=-174.365326, z=0.198250)
Location(x=38.717224, y=-174.370712, z=0.199001)
Location(x=38.011021, y=-174.375641, z=0.199568)
Location(x=37.317337, y=-174.380463, z=0.200019)
Location(x=36.674473, y=-174.384964, z=0.200349)
Location(x=35.974361, y=-174.389816, z=0.200617)
Location(x=35.285042, y=-174.394592, z=0.200794)
Location(x=34.659161, y=-174.398941, z=0.200886)
Location(x=34.024883, y=-174.403381, z=0.200917)
Location(x=33.284332, y=-174.408554, z=0.200877)
Location(x=32.631554, y=-174.413101, z=0.200783)
Location(x=31.967505, y=-174.417725, z=0.200637)
Location(x=31.293436, y=-174.422440, z=0.200441)
Location(x=30.569889, y=-174.427490, z=0.200181)
Location(x=29.885090, y=-174.432281, z=0.199897)
Location(x=29.145405, y=-174.437469, z=0.199553)
Location(x=28.519550, y=-174.441864, z=0.199240)
Location(x=27.736813, y=-174.447372, z=0.198817)
Location(x=27.037655, y=-174.452301, z=0.198423)
Location(x=26.336906, y=-174.457260, z=0.198014)
Location(x=25.576836, y=-174.462616, z=0.197560)
Location(x=24.886232, y=-174.467499, z=0.197064)
Location(x=24.164856, y=-174.472382, z=0.195335)
Location(x=23.540110, y=-174.476456, z=0.191661)
Location(x=22.924673, y=-174.480896, z=0.186370)
Location(x=22.189497, y=-174.486465, z=0.179022)
Location(x=21.481205, y=-174.491791, z=0.171176)
Location(x=20.860582, y=-174.496429, z=0.164207)
Location(x=20.155790, y=-174.501434, z=0.154871)
Location(x=19.416058, y=-174.506546, z=0.141828)
Location(x=18.682184, y=-174.511688, z=0.126155)
Location(x=17.944227, y=-174.516846, z=0.109689)
Location(x=17.397673, y=-174.520676, z=0.096897)
Location(x=16.688023, y=-174.525620, z=0.080797)
Location(x=15.971567, y=-174.530640, z=0.065319)
Location(x=15.285787, y=-174.535446, z=0.051308)
Location(x=14.589100, y=-174.540344, z=0.037890)
Location(x=13.886778, y=-174.545288, z=0.025228)
Location(x=13.310634, y=-174.549393, z=0.015554)
Location(x=12.562790, y=-174.554688, z=0.003820)
Location(x=11.822415, y=-174.559937, z=-0.006780)
Location(x=11.151567, y=-174.564682, z=-0.015496)
Location(x=10.434969, y=-174.569794, z=-0.023920)
Location(x=9.617233, y=-174.575623, z=-0.032440)
Location(x=8.927364, y=-174.580536, z=-0.038707)
Location(x=8.211879, y=-174.585663, z=-0.044370)
Location(x=7.544704, y=-174.590424, z=-0.048905)
Location(x=6.944385, y=-174.594727, z=-0.052397)
Location(x=6.121553, y=-174.600616, z=-0.056322)
Location(x=5.335290, y=-174.606247, z=-0.059194)
Location(x=4.609553, y=-174.611465, z=-0.061137)
Location(x=3.864671, y=-174.616806, z=-0.062469)
Location(x=3.205411, y=-174.621536, z=-0.063141)
Location(x=2.536108, y=-174.626358, z=-0.063364)
Location(x=2.732764, y=-174.634827, z=-0.138271)
Location(x=2.894049, y=-174.639786, z=-0.164237)
Location(x=3.090925, y=-174.646133, z=-0.151089)
Location(x=3.263439, y=-174.651108, z=-0.149041)
Location(x=3.441051, y=-174.655518, z=-0.145943)
Location(x=3.579689, y=-174.658508, z=-0.142929)
Location(x=3.754709, y=-174.661774, z=-0.138244)
Location(x=3.922618, y=-174.664429, z=-0.132975)
Location(x=4.074015, y=-174.666504, z=-0.127640)
Location(x=4.219134, y=-174.668243, z=-0.122024)
Location(x=4.368923, y=-174.669769, z=-0.115724)
Location(x=4.509976, y=-174.671005, z=-0.109400)
Location(x=4.655489, y=-174.672119, z=-0.102484)
Location(x=4.784033, y=-174.672958, z=-0.096133)
Location(x=4.916415, y=-174.673721, z=-0.089332)
Location(x=5.046366, y=-174.674377, z=-0.082455)
Location(x=5.169574, y=-174.674911, z=-0.075802)
Location(x=5.283408, y=-174.675354, z=-0.069578)
Location(x=5.423367, y=-174.675751, z=-0.061763)
Location(x=5.550021, y=-174.676086, z=-0.054698)
Location(x=5.663561, y=-174.676361, z=-0.048412)
Location(x=5.786940, y=-174.676575, z=-0.041612)
Location(x=5.902910, y=-174.676727, z=-0.035336)
Location(x=6.001333, y=-174.676834, z=-0.030149)
Location(x=6.098978, y=-174.676895, z=-0.025123)
Location(x=6.192425, y=-174.676956, z=-0.020455)
Location(x=6.284627, y=-174.676971, z=-0.016003)
Location(x=6.376469, y=-174.676971, z=-0.011740)
Location(x=6.471611, y=-174.676910, z=-0.007525)
Location(x=6.553069, y=-174.676849, z=-0.004120)
Location(x=6.629095, y=-174.676773, z=-0.001119)
Location(x=6.699333, y=-174.676697, z=0.001490)
Location(x=6.773121, y=-174.676605, z=0.004055)
Location(x=6.843804, y=-174.676468, z=0.006323)
Location(x=6.910433, y=-174.676331, z=0.008280)
Location(x=6.978876, y=-174.676147, z=0.010097)
Location(x=7.052037, y=-174.675980, z=0.011803)
Location(x=7.115184, y=-174.675797, z=0.013060)
Location(x=7.165975, y=-174.675629, z=0.013902)
Location(x=7.228191, y=-174.675430, z=0.014705)
Location(x=7.281067, y=-174.675232, z=0.015210)
Location(x=7.326510, y=-174.675049, z=0.015503)
